State,Flower,Bird,Funfact1,Funfact2
NY,Rose,Bluebird,There are over 800 languages spoken in a famous city in this state. Almost half of all families in this city speak a language other than English at home.,This state is well known for a particular city that was also the first capital of the United States.
NC,Dogwood,Cardinal,"This state contains the largest mansion in the United States, the Biltmore Estate, with 255 rooms, gardens, and a winery.","This state is the #1 producer of sweet potatoes in the United States, producing nearly three times as many sweet potatoes as the second-highest producing state."
ND,Wild prairie rose,Western meadowlark,This state is the No. 1 producer of honey and sunflowers in the nation.,"This state is home to the Theodore Roosevelt National Park, known for its scenic beauty and natural wildlife."
OH,Scarlet carnation,Cardinal,It is illegal to fish for whales on a Sunday in this state.,"The first concrete street in America, which is still in use today, was poured in 1891 in this state."
OK,Mistletoe,Scissor-tailed flycatcher,This state has more major tornadoes per square mile than any other state in the country.,"Because of the frequent sightings, there is an annual Big Foot Festival in this state."
OR,Oregon Grape,Western Meadowlark,"This state is home to the deepest lake in the United States, the Crater Lake.","Mushroom hunting is so popular in this state that they even have a festival for it, 'the Estacada Festival of the Fungus'. Many people visit this state to engage in mushroom hunting in a bid to find the rarest delicacies."
PA,Mountain laurel,Ruffed Grouse,This state is where the declaration of independence was signed and where the Constitution was written.,"The first recognized computer, the ENIAC, was created in this state."
RI,Violet,Rhode Island Red,"This state is home to the Big Blue Bug, also known as the Nibbles Woodaway, which is a giant replica of a termite. It is claimed to be the world's largest artificial bug at 928 times the size of an actual termite, standing 9 feet tall. and 58 feet long and weighing 4,000 pounds.",This is the smallest state in size in the United States.
SC,Yellow jessamine,Great Carolina Wren,"This state is home to Morgan Island, also known as Monkey Island, which is completely uninhabited by people and is home to the only free-ranging rhesus macaque monkey colony in the United States.", This state is the birthplace of sweet tea.
SD,Pasque flower,Ring-necked pheasant,"This state is home to the famous Mount Rushmore National Memorial, featuring the faces of George Washington, Thomas Jefferson, Theodore Roosevelt, and Abraham Lincoln.","This state is home to the Mammoth Site of Hot Springs, which contains the largest collection of Columbian mammoth and Woolly mammoth bones ever discovered. It's the only display of fossils in the world that has been left exactly as it was found."
TN,Purple iris,Mockingbird,"This state is home to the Great Smoky Mountains National Park, the most visited national park in the United States.","This state is home to the largest underground lake, the Lost Sea."
TX,Texas Blue Bonnet,Mockingbird,This state is known for offering pickles with popcorn in their theatres.,"The largest known bat colony in North America is located in this state (Bracken Cave, with over 20 million bats)."
UT,Sego lily,American Seagull,This is the only state where every county contains at least part of a national forest.,"According to this state's license plates, this state boasts ""The Greatest Snow on Earth""."
VT,Red clover,Hermit Thrush,"This state is the number one producer of maple syrup in the U.S., producing over 500,000 gallons a year!",This state was the first to abolish adult slavery.
VA,Dogwood,Cardinal,The first Thanksgiving happened in this state.,More U.S. presidents were born in this state than any other state.
WA,Western rhododendron,Willow Goldfinch,More than 90 percent of U.S. red raspberries and 60 percent of U.S. apples come from this state.,This state contains the most amount of bald eagles in the U.S.
WV,Rhododendron,Cardinal,This is the only state to be admitted under presidential proclamation.,"This state is home to Coal House, the world's only residence built entirely of coal."
WI,Wood violet,Robin,The first ice cream sundae was concocted in this state.,"Also known as ""America's Dairyland"", this state is the number one producer of cheese and the number two producer of milk in the United States."
WY,Indian paint brush,Western meadowlark,"This state is the least populous state in the country, even though it's the 10th largest by area.",This state was the first to grant white women the right to vote.
